127.0.0.1 - - [02/Jul/2021:05:58:03 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [02/Jul/2021:05:58:04 +0900] "GET /Check3/jspTest.jsp HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [02/Jul/2021:05:58:04 +0900] "GET /Check3/style.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [02/Jul/2021:05:59:24 +0900] "GET /Check3/footer.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [02/Jul/2021:05:59:24 +0900] "GET /Check3/style.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [02/Jul/2021:06:09:20 +0900] "GET /Check3/jspTest.jsp HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [02/Jul/2021:06:09:20 +0900] "GET /Check3/style.css HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [02/Jul/2021:06:09:20 +0900] "GET /Check3/WebContent/css/style.css HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [02/Jul/2021:06:11:26 +0900] "GET /Check3/jspTest.jsp HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [02/Jul/2021:06:11:26 +0900] "GET /Check3/WebContent/css/style.css HTTP/1.1" 404 1081
